名称,author,desc,commit,score
大鱼,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003 / 美国 / 剧情 家庭 奇幻 冒险,526231人评价,8.8
哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ...,1979 / 中国大陆 / 冒险 动画 奇幻,233846人评价,9.1
我是山姆,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...,2001 / 美国 / 剧情 家庭,306330人评价,9.0
哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005 / 英国 美国 / 悬疑 奇幻 冒险,574434人评价,8.7
血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,2016 / 澳大利亚 美国 / 剧情 传记 历史 战争,726935人评价,8.7
玩具总动员3,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010 / 美国 / 喜剧 动画 奇幻 冒险,466204人评价,8.9
傲慢与偏见,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005 / 法国 英国 美国 / 剧情 爱情,722507人评价,8.7
教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,1990 / 美国 / 剧情 犯罪,334442人评价,9.0
时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...,2013 / 英国 / 喜剧 爱情 奇幻,590749人评价,8.8
侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,1995 / 日本 / 剧情 爱情 动画,421550人评价,8.9
驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,2010 / 美国 / 动画 奇幻 冒险,694471人评价,8.7
萤火之森,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011 / 日本 / 剧情 爱情 动画 奇幻,481886人评价,8.9
射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993 / 中国香港 / 喜剧 奇幻 武侠 古装,583910人评价,8.7
玛丽和马克思,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...,2009 / 澳大利亚 美国 / 剧情 喜剧 动画,397427人评价,8.9
未麻的部屋,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997 / 日本 / 动画 奇幻 惊悚,285939人评价,9.0
恐怖直播,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013 / 韩国 / 剧情 犯罪 悬疑,597450人评价,8.7
摩登时代,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,1936 / 美国 / 剧情 喜剧 爱情,271349人评价,9.3
七宗罪,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,875677人评价,8.8
喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,1999 / 中国香港 / 喜剧 剧情 爱情,882369人评价,8.8
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014 / 美国 德国 英国 / 剧情 喜剧 冒险,837419人评价,8.9
杀人回忆,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,636875人评价,8.9
功夫,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,987567人评价,8.7
超脱,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011 / 美国 / 剧情,506295人评价,9.0
